,source,headline,date,body,topics,Business,Culture,Nature,Politics,Society,Sport
10,Iceland Review,Sixteen Middle Managers at Landspítali Hospital Dismissed,2022/11/01,"Sixteen middle managers employed at the National University Hospital of Iceland received letters of termination yesterday, RÚV reports. The terminations stem from the adoption of a new organisational chart intended to improve the hospital’s operations. A new organisational chart will come into effect at the National University Hospital on January 1. According to director Runólfur Pálsson, the organisational chart is intended to simplify the hospital’s operations and make them more efficient. “The main purpose is to get a handle on the hospital’s management and operations, to strengthen our clinical services, and to harmonise other key services,” Runólfur remarked in an interview with RÚV. Over the past months, questions concerning the sustainability of the hospital’s operations have come to the fore. When asked if these changes would be felt by the public, Runólfur replied: “I hope it’ll translate into a stronger hospital, that we’ll be able to improve our service: improve our emergency services, the flow of patients while also strengthening our surgical department. If we’re successful in this regard, then the public will certainly feel it.” The hospital’s organisational chart was introduced to the Minister of Health today. The changes imply a decrease in the number of middle managers and increased responsibility among front-line managers. “Six directorial positions will be cut, but there are two positions that are bound by law, namely the directorship of nurses and medicine – but the other six will be cut alongside all of the ten managerial positions,” Runólfur remarked. As reported by RÚV, the sixteen individuals holding the aforementioned positions received a letter of notice yesterday. Runólfur added that because the organisational chart had yet to be implemented, it remained to be seen whether it would result in increased efficiency. “These are big changes, and we must be aware that changes to the organisational chart, in themselves, are not enough to improve our output – there are other things that must work out as well,” Runólfur stated. “But the purpose of these changes is to get a better handle on and harmonise our clinical services. In the near future, we will aim to overhaul all of the clinical organisational units in the front line and strengthen its management affording them greater responsibility.”","Politics,Society",0,0,0,1,1,0
11,Iceland Review,Record Number of Coronavirus Deaths Since Start of 2022,2022/11/01,"Deaths from COVID-19 have hit a record high, Vísir reports, with 188 people having died from the coronavirus since the beginning of 2022. According to Chief Epidemiologist Guðrún Aspelund, the effect of COVID-19 far outweighs the effects of other infectious diseases such as influenza. Deaths from COVID-19 have surged since the start of 2022, Vísir reports. Thirty-one people died from the coronavirus in 2020 compared to eight in 2021. During the first ten months of 2022, however, that number has risen to 188. According to Chief Epidemiologist Guðrún Aspelund, this upswing in cases owes primarily to the highly infectious Omicron variant and the fact that no social restrictions are in place. Deaths have mainly occurred among individuals seventy years and older. “Which is why we’re encouraging older people, everyone sixty years and older, and those who are at risk, to get their booster shots. That’s the best form of protection,” Guðrún remarked, adding that protection from vaccines diminishes over a period of a few months. “We’ve also got new vaccines now that offer protection against the original variant of coronavirus and Omicron, which offers better protection. We need to repeat these vaccinations to enter into winter with good protection.” Read More: Long-form Interview with former chief epidemiologist Þórólfur Guðnason Guðrún observed that Iceland’s neighbouring countries have also been seeing a rise in cases in 2022. “Confirmed deaths from COVID-19 are believed to be around six and a half million. But there are many who believe that those figures are at least twice as high – thousands of people are still dying from coronavirus every week.” According to Guðrún, deaths from coronavirus are significantly higher than deaths from influenza. Coronavirus deaths in Iceland are, however, lower when compared to other countries, with Iceland having the lowest death toll among the Nordic countries. When asked to speculate why, Guðrún pointed to Iceland’s speedy vaccination campaign, its social restrictions, and the fact that the healthcare system had responded well. “I think we can chalk up this achievement to these factors along with the participation of the citizenry.”",Society,0,0,0,0,1,0
12,Iceland Review,Further Animal Abuse from Borgarförður Farmer Already Implicated Earlier this Year,2022/10/31,"The Icelandic Food and Veterinary Authority, MAST, is taking action against the same farmer responsible for a case of animal abuse against horses earlier this year. The current case concerns cattle in Borgarfjörður that have been reportedly abused. According to information from MAST, the livestock are no longer in the farmer’s custody. According to RÚV, neighbours of the farm have complained about conditions on the farm, saying that the animals have inadequate water and shelter against the elements. According to the neighbours, livestock on the farm are often locked inside for long periods, and the cattle that are seen outside are often malnourished to the point of deformity. The owner of the cattle in question has also been reported as having a difficult relationship with his neighbours in past, with some saying that he has shown threatening behaviour. Now, according to MAST, the livestock are in a better facility. According to the neighbour interviewed by RÚV, the livestock in question had been locked inside for nearly three years.",Society,0,0,0,0,1,0
13,Iceland Review,Emergency Shelters Not Able to Cope with High Numbers of Unhoused People,2022/10/31,"Hrafnhildur Ólöf Ólafsdóttir, nurse and head of the City of Reykjavík working group on homelessness, has stated in a recent interview with RÚV that following a large increase in the use of homeless shelters in the last two years, the system can no longer cope with the large demand placed on it. According to the latest information from the Welfare Council, some 87 women and 214 men remain unhoused in Reykjavík. 30% of this group use emergency shelters, with around another 50% in residential facilities. Hrafnhildur stated to RÚV that the crisis had many causes: “It’s connected to many factors, especially the housing and rental market, and reduced access now to guesthouses, hotels, and hostels, which we had access to during the pandemic.“ Emergency shelters in Reykjavík are now consistently at and above their limits, compared with 2021 where utilization of shelters sat between 60-80%, and in 2020, when it sat around 30-50%. Further exacerbating the problem is the fact that around a third of Reykavík’s unhoused come from other municipalities. Hrafnhildur stated: “It’s not that people are choosing to come to Reykjavík, we are simply the only municipality that offers these services. Other resources need to be developed and allocated elsewhere, too.” See our Ask Iceland Review on homelessness in Iceland for more information.    ",Society,0,0,0,0,1,0
14,Iceland Review,The Climate Disaster Has “Already Begun to Materialise”,2022/10/28,"The international community is “falling far short of the Paris goals,” a new UN report finds. “The disaster has already begun to materialise,” Halldór Þorgeirsson, Chair of Iceland’s Climate Council, told RÚV yesterday. Yesterday, October 27, the United Nations Environment Programme (UNEP) published its 2022 edition of the Emissions Gap report. The report provides an update on the progress towards “achieving national mitigation pledges” and the goals set by the Paris Agreement by taking stock of the so-called “emissions gap.” As noted by a UN press release, the report concludes that the international community is “falling far short of the Paris goals, with no credible pathway to 1.5°C in place.” The authors state that the only way to avoid climate disaster is via an urgent “system-wide transformation.” Read More: The Age of Eco-Anxiety “Global and national climate commitments are falling pitifully short,” Secretary General of the UN António Guterres stated in a video message during an introduction of the report yesterday. “We must close the emissions gap before climate catastrophe closes in on us all.” To address the report’s findings, RÚV invited the Chair of Iceland’s Climate Council Halldór Þorgeirsson (and a retired Senior Director at the UN Climate Change Secretariat) to an interview during yesterday’s nightly news. Halldór was blunt: “These disasters have already begun to materialise, and this year, we have seen disasters that are truly man-made. The strongest example being Pakistan, and, just as bad, and nearer to home, Florida. “These things are already manifesting in such a way that it’s no longer a question of the future. Our meagre achievements means that the window of opportunity grows ever narrower; there’s much less time. That’s why the only feasible path forward is to undertake fast and extensive system-wide transformation.” The only way to do this, Halldór maintained, was increased investment. “These are large figures but in reality, it’s only about 2% of the total budget. So it certainly seems doable. Central banks play a big role, and we need to rethink the economy. That’s what this is about – alongside greater cooperation between nations.” The 2022 United Nations Climate Change Conference (COP27) will be held from November 6 to 18 in Egypt. It will mark the 27th United Nations Climate Change conference. According to Halldór, no “big decisions” are expected to be made during the conference. “This conference will focus more on following through with the agreement,” Halldór observed. “The implementation of the Paris Agreement was concluded in Glasgow last year. During the first two days of the conference, global leaders will be present, and the messages that they send matter. All eyes will be on China. They’ve been quite reticent. Then there’s this very strong undercurrent, connected to those aforementioned disasters because one of the big questions of this conference is how we provide aid to nations who suffer such disasters.”","Politics,Society",0,0,0,1,1,0
15,Iceland Review,Two Thirds of Reykjavík Residents Support Pedestrian Zones,2022/10/27,"The majority of Reykjavík residents view pedestrian districts in downtown positively, according to a recent poll commissioned by the City of Reykjavík from Maskína, a market research group. The recent opinion poll also reports a significant reduction in negative opinions towards pedestrian districts in the last four years. In total, 64.5% of Reykjavík residents view pedestrian districts positively, with 12.3% viewing them negatively. Interestingly, those disposed most positively towards pedestrian districts are generally those who live near and visit pedestrian districts, such as Laugavegur, often. Conversely, negative attitudes towards walking zones were also shown to cluster around those who live away from and visit walking zones less. 88% who visit walking districts weekly or more feel positively towards them. 64% of those who visit one to three times a month felt positively towards them, and only 38% of those who visited walking districts less than once a month felt positively towards them. The neighborhoods most positively disposed towards pedestrian areas were Vesturbær (80%) and downtown (78%). Among key benefits of walking districts residents of Reykjavík highlighted in the poll were positive effects on health, community, restaurants and cafés, and shopping. The poll also comes at a time when Reykjavík City is planning to expand the walking district by Austurvöllur around Dómkirkjan and Alþingi. The plans for the new walking area, which can be accessed here, will convert Kirkjustræti and Temparasund into pedestrian-only areas. The area will also receive an extensive redesign. The Maskína survey took place between August 12 and 17 of this year, with a random sample of citizens and residents selected from Registers Iceland. Respondents were 18 years and older, and represent all districts of Reykjavík.      ",Society,0,0,0,0,1,0
16,Iceland Review,Reykjavík City Proposes New Fee for Winter Tires,2022/10/26,"The Environment Agency of Iceland has introduced a new plan for air quality in the capital region which would advise local authorities to introduce new fees for studded winter tires, reports Fréttablaðið. According to air quality expert at the Environment Agency, Þorsteinn Jóhannsson, there now exists the political will to push through these new regulations, which would aim to both improve air quality by lessening the particulate matter in the air, and also lessen wear on the capital’s roads. Some, according to Þorsteinn, have stated that this would amount to a further tax burden on Iceland’s already-struggling rural communities. Because of the conditions during winter, it is practically a requirement for Iceland’s rural population to use studded tires. Þorsteinn, however, has clarified that the fee would apply principally to the capital region, and that visitors with studded tires to the capital would pay a daily fee. In this way, it would function much like a parking fee. According to Þorsteinn, investigations show that studded tires cause 20 to 40 times as much wear to roads as non-studded. Þorsteinn also notes that although the legal season for winter tires is from November 1 to April 14, there are already many studded tires on the road in Reykjavík. Alexandra Briem, chairperson of the city council, has also stated her support for such a fee, noting that additional methods to reduce air pollution and wear on roads are needed. More information on car ownership and regulations can be found at the Icelandic Automobile Association.","Society,Travel",0,0,0,0,1,0
17,Iceland Review,US Extends Deadline for Marine Mammal Bycatch Regulations,2022/10/26,"In a recent announcement, the United States National Oceanic and Atmospheric Administration (NOAA) has extended the deadline for the implementation of regulations governing the import of seafood to the US. Aimed at protecting endangered species and limiting the amount of unnecessary bycatch (what is unintentionally caught by net fishing, which can include seabirds, other species of fish, seals, dolphins, and even small whales), the regulations aim to limit the import of marine products from fisheries where marine mammals are caught. This has potentially large consequences for Iceland, the US being a major export market for Icelandic seafood. The regulations were originally introduced in 2016 and gave exporting nations a 5-year period to comply with the new US regulations. However, this grace period was extended by a year, and then further delayed due to the COVID-19 pandemic. Notably, Iceland lost its Marine Stewardship Council (MSC) certification in 2018 due to the large number of bycatch produced by Icelandic lumpfish fishing. Lumpfish generally stick near the shore and are thus safe from larger trawlers. This fish, prized for its roe, is still fished in small boats with nets. However, net fishing also produces large amounts of unwanted bycatch. Although Iceland has taken steps in recent years to minimizing the environmental impact of net fishing, it is a complicated situation for Icelandic fishermen, as it is generally the small boat fishermen who will be under the most pressure from the current regulations. Iceland’s small boat fishermen have already been sidelined in many ways by the current quota system. Although the bycatch problem is indeed important, it leaves some wondering if the burden of environmental responsibility is being placed excessively on small, independent fishermen.    ","Nature,Society",0,0,1,0,1,0
18,Iceland Review,Iceland Ranked World’s 20th Most Innovative Nation,2022/10/25,"Iceland ranks 20th among the world’s most innovative nations according to the new global innovation index. Switzerland, the US, and Sweden remain top. The Global Innovation Index is “an annual ranking of countries by their capacity for, and success in, innovation.” The index – started in 2007 by INSEAD and World Business – is published by the World Intellectual Property Organisation (WIPO) and is based on both subjective and objective data derived from several sources, including the International Telecommunication Union, the World Bank, and the World Economic Forum. Falling three places from 2021, Iceland ranks 20th according to this year’s index (the confidence interval indicates that Iceland ranks somewhere between 15th and 20th) and 12th among European countries. Read More: Idea Island (Iceland Is Investing in Innovation) As noted by the government’s website, Iceland’s standing may be somewhat skewed by its size and abundance of natural resources: “As a small country, by international standards, Iceland draws the short straw when it comes to several criteria employed by WIPO during the index’s calculus; the criteria is not patterned to small nations rich in natural resources.” To this point, Iceland scores high (14th place) in the categories Institutions and Business Sophistication, and is ranked first when it comes to the use of information and communication technologies, electricity output, share of gross domestic expenditure on research and development (GERD) financed from abroad, number of scientific articles published per capita, national feature films, and online creativity. On the other hand, Iceland scores low when it comes to the ratio of gross-domestic-product (GDP)-to-energy-use (129th), a proxy for energy efficiency; the size of the domestic market (129th); the value of inward direct investment made by non-resident investors (127th); and graduates in science and engineering (85th). As noted in a recent article in Iceland Review magazine, Iceland may have “hopped on the startup train a bit later than other countries, but its startup environment has taken huge strides in recent years.” In 2019, the Icelandic government penned its first-ever comprehensive innovation policy, and at the end of 2020, the newly-elected government established a Ministry of Higher Education, Science, and Innovation, suggesting that policymakers are “not overlooking what startups have to offer the nation.”","Business,Sci&Tech,Society",1,0,0,0,1,0
19,Iceland Review,Single-Lane Bridge Replaced with Double-Lane Bridge Near Kirkjubæjarklaustur,2022/10/24,"Sigurður Ingi Jóhannsson, Minister of Infrastructure, took part in the official opening of the new bridge over Jökulsá on the south coast of Iceland on Friday, October 21. With the appearance of the new bridge, there will no longer be any one-way bridges between Reykjavík and Kirkjubæjarklaustur, a town on the south coast of Iceland. The improvement is a major one for the region, meaning that the drive east along the south coast will be all the more navigable. Also present at the opening ceremony were Anton Kári Halldórsson, mayor of Rangárþing eystra, and Einar Freyr Elínarsn, mayor of Mýrdalshreppur municipality. After the ceremony, minister Sigurður was the first to drive over the new bridge, inaugurating this latest addition to Iceland’s road system. In his address at the ceremony, minister Sigurður outlined his ministry’s plans to get rid of single-lane bridges throughout the nation: “Today we move one step closer to that goal. Four years ago, 37 bridges on the Ring Road were single-lane, now there are 32, and there will be 31 when the new bridge opens today. And there is no let up in construction. I am hopeful that we will be able to reduce the number of them to 29 right before the end of the year, with new bridges openings on both Hverfisfljót and Núpsvötn later in the year. There are also three single-lane bridges that will be diverted around the Ring Road when traffic is allowed over the new bridge over the Hornafjörður River.” According to information from the Road Administration, the new bridge is some 163 m [535 ft] long, with a total width of 10 m [33 ft]. The bridge it replaces was built in 1967, part of the construction of Iceland’s Ring Road.","Society,Travel",0,0,0,0,1,0
20,Iceland Review,No Gender Pay Gap in Árborg,2022/10/24,"For the first time in the municipality’s history, Árborg in South Iceland has reported no wage gap for the municipality’s thousand-some employees. Fjóla Kristinsdóttir, mayor of Árborg, stated to Vísir that she was “extremely proud of this achievement.” She noted that it was particularly impressive given the large size of the municipality and their many employees, though she also stated “this is naturally what we have to do according to the law.” On how the municipality achieved this milestone in social justice, Fjóla stated that “I’m not trying to own this accomplishment. It’s just our great staff who have been working hard on this.” There are around 1,000 employees in Árborg municipality, with women now considerably more represented than men. Now, however, the basic wage for all is the same, something that was not always the case. The news is significant in its timing as well, coming near the anniversary of Women’s Day Off. On October 24, 1975, women in Iceland staged a historic strike, now known as Women’s Day Off. With nearly 90% of Iceland’s women participating in the strike, they walked out of both jobs and domestic labour for the day. The following year, legislation ensuring equal pay was passed.  ","Culture,Society",0,1,0,0,1,0
